canonical_player_id,canonical_name,transfermarkt_player_id,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
176,Ryan Koolwijk,65256,Ryan Koolwijk,1.0,1.0,1.0,1.0,exact_after_normalize
177,Michael Higdon,14170,Michael Higdon,1.0,1.0,1.0,1.0,exact_after_normalize
178,Victor Pálsson,97241,Victor Pálsson,1.0,1.0,1.0,1.0,exact_after_normalize
179,Jeffrey Leiwakabessy,4517,Jeffrey Leiwakabessy,1.0,1.0,1.0,1.0,exact_after_normalize
180,Michel Breuer,24498,Michel Breuer,1.0,1.0,1.0,1.0,exact_after_normalize
181,Christoph Hemlein,58030,Christoph Hemlein,1.0,1.0,1.0,1.0,exact_after_normalize
182,Kevin Conboy,72943,Kevin Conboy,1.0,1.0,1.0,1.0,exact_after_normalize
183,Daan Bovenberg,63334,Daan Bovenberg,1.0,1.0,1.0,1.0,exact_after_normalize
185,Tobias Haitz,85902,Tobias Haitz,1.0,1.0,1.0,1.0,exact_after_normalize
186,Søren Rieks,44471,Søren Rieks,1.0,1.0,1.0,1.0,exact_after_normalize
187,Hans Mulder,45562,Hans Mulder,1.0,1.0,1.0,1.0,exact_after_normalize
188,Cihat Çelik,275385,Cihat Çelik,1.0,1.0,1.0,1.0,exact_after_normalize
189,Karl-Johan Johnsson,112822,Karl-Johan Johnsson,1.0,1.0,1.0,1.0,exact_after_normalize
190,Alireza Jahanbakhsh,213268,Alireza Jahanbakhsh,1.0,1.0,1.0,1.0,exact_after_normalize
191,Samuel Štefánik,132376,Samuel Stefanik,0.4762,1.0,1.0,1.0,exact_after_normalize
192,Pavel Čmovš,95793,Pavel Cmovs,0.4118,1.0,1.0,1.0,exact_after_normalize
193,Jürgen Locadia,166240,Jürgen Locadia,1.0,1.0,1.0,1.0,exact_after_normalize
194,Bryan Ruiz,39642,Bryan Ruiz,1.0,1.0,1.0,1.0,exact_after_normalize
195,Luciano Narsingh,72462,Luciano Narsingh,1.0,1.0,1.0,1.0,exact_after_normalize
197,Oscar Hiljemark,158810,Oscar Hiljemark,1.0,1.0,1.0,1.0,exact_after_normalize
198,Jetro Willems,146258,Jetro Willems,1.0,1.0,1.0,1.0,exact_after_normalize
199,Abel Tamata,123513,Abel Tamata,1.0,1.0,1.0,1.0,exact_after_normalize
200,Stijn Schaars,4698,Stijn Schaars,1.0,1.0,1.0,1.0,exact_after_normalize
201,Jorrit Hendrix,205004,Jorrit Hendrix,1.0,1.0,1.0,1.0,exact_after_normalize
202,Santiago Arias,120443,Santiago Arias,1.0,1.0,1.0,1.0,exact_after_normalize
203,Jeffrey Bruma,88721,Jeffrey Bruma,1.0,1.0,1.0,1.0,exact_after_normalize
204,Zakaria Bakkali,203378,Zakaria Bakkali,1.0,1.0,1.0,1.0,exact_after_normalize
205,Adam Maher,122421,Adam Maher,1.0,1.0,1.0,1.0,exact_after_normalize
206,Ola Toivonen,36500,Ola Toivonen,1.0,1.0,1.0,1.0,exact_after_normalize
207,Jeroen Zoet,79045,Jeroen Zoet,1.0,1.0,1.0,1.0,exact_after_normalize
208,Florian Jozefzoon,124873,Florian Jozefzoon,1.0,1.0,1.0,1.0,exact_after_normalize
209,Joshua Brenet,207006,Joshua Brenet,1.0,1.0,1.0,1.0,exact_after_normalize
210,Georginio Wijnaldum,49499,Georginio Wijnaldum,1.0,1.0,1.0,1.0,exact_after_normalize
211,Peter van Ooijen,123521,Peter van Ooijen,1.0,1.0,1.0,1.0,exact_after_normalize
212,Karim Rekik,182579,Karim Rekik,1.0,1.0,1.0,1.0,exact_after_normalize
213,Tim Matavž,50303,Tim Matavz,0.6923,1.0,1.0,1.0,exact_after_normalize
214,Jean-David Beauguel,198395,Jean-David Beauguel,1.0,1.0,1.0,1.0,exact_after_normalize
215,Denzel Slager,225886,Denzel Slager,1.0,1.0,1.0,1.0,exact_after_normalize
216,Robert Braber,29324,Robert Braber,1.0,1.0,1.0,1.0,exact_after_normalize
217,Kenny Anderson,139190,Kenny Anderson,1.0,1.0,1.0,1.0,exact_after_normalize
219,Mitch Apau,113872,Mitch Apau,1.0,1.0,1.0,1.0,exact_after_normalize
220,Kenny Van Hoevelen,20362,Kenny Van Hoevelen,1.0,1.0,1.0,1.0,exact_after_normalize
221,Jonas Ivens,13063,Jonas Ivens,1.0,1.0,1.0,1.0,exact_after_normalize
222,Sander Duits,14863,Sander Duits,1.0,1.0,1.0,1.0,exact_after_normalize
223,Imad Najah,83947,Imad Najah,1.0,1.0,1.0,1.0,exact_after_normalize
224,Mart Lieder,211331,Mart Lieder,1.0,1.0,1.0,1.0,exact_after_normalize
225,Evander Sno,34382,Evander Sno,1.0,1.0,1.0,1.0,exact_after_normalize
226,Aurélien Joachim,38004,Aurélien Joachim,1.0,1.0,1.0,1.0,exact_after_normalize
227,Romeo Castelen,6764,Romeo Castelen,1.0,1.0,1.0,1.0,exact_after_normalize
229,Peter Jungschläger,34782,Peter Jungschläger,1.0,1.0,1.0,1.0,exact_after_normalize
230,Ingo van Weert,272957,Ingo van Weert,1.0,1.0,1.0,1.0,exact_after_normalize
231,Damiano Schet,122647,Damiano Schet,1.0,1.0,1.0,1.0,exact_after_normalize
233,Michael Lamey,4344,Michael Lamey,1.0,1.0,1.0,1.0,exact_after_normalize
234,Mickaël Tavares,45139,Mickaël Tavares,1.0,1.0,1.0,1.0,exact_after_normalize
