fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Nikolai Baden,Nikolai Baden Frederiksen,Fortuna Sittard,2019,0.56,0.904,0.6842,0.6842,substring_match,match,Last name
Nikolai Baden,Nikolai Baden Frederiksen,Vitesse,2021,0.56,0.904,0.6842,0.6842,substring_match,match,Last name
Nikolai Baden,Nikolai Baden Frederiksen,Vitesse,2022,0.56,0.904,0.6842,0.6842,substring_match,match,Last name
Guus Hupperts,Guus Joppen,Willem II,2015,0.3,0.8685,0.6667,0.6667,same_given_name_diff_surname,No match,Different ages
Guus Joppen,Guus Hupperts,Willem II,2015,0.3,0.8685,0.6667,0.6667,same_given_name_diff_surname,No match,Different ages
Gonzalo,Gonzalo García,Heracles Almelo,2015,0.5714,0.9,0.6667,0.6667,substring_match,,
Siem de Jong,Luuk de Jong,PSV,2016,0.4444,0.7361,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Luuk de Jong,Siem de Jong,PSV,2016,0.4444,0.7361,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Julian Chabot,Jeff Chabot,Sparta,2017,0.4444,0.6976,0.6667,0.6667,same_surname_diff_given_name,,
Emil Riis Jakobsen,Emil Riis,VVV Venlo,2017,0.5263,0.9,0.6667,0.6667,substring_match,,
Julian Chabot,Jeff Chabot,Groningen,2018,0.4444,0.6976,0.6667,0.6667,same_surname_diff_given_name,,
Lars Nieuwpoort,Sven Nieuwpoort,De Graafschap,2018,0.5238,0.8389,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Sven Nieuwpoort,Lars Nieuwpoort,De Graafschap,2018,0.5238,0.8389,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Thomas van den Belt,Sepp van den Berg,PEC Zwolle,2018,0.3571,0.7236,0.6667,0.6667,other,,
Dylan Seys,Dylan Vente,RKC Waalwijk,2019,0.3529,0.8673,0.6667,0.6667,same_given_name_diff_surname,No match,Different ages
Dylan Vente,Dylan Seys,RKC Waalwijk,2019,0.3529,0.8673,0.6667,0.6667,same_given_name_diff_surname,No match,Different ages
Elias Sierra,Elias Sierra-Cappelletti,Heracles Almelo,2020,0.52,0.9,0.6667,0.6667,substring_match,,
Pedro,Pedro Ruiz,NEC Nijmegen,2021,0.5455,0.9,0.6667,0.6667,substring_match,match,last name
Elias Sierra,Elias Sierra-Cappelletti,Heracles Almelo,2021,0.52,0.9,0.6667,0.6667,substring_match,,
Mads Bech Sørensen,Mads Bech,Groningen,2022,0.5263,0.9,0.6667,0.6667,substring_match,,
Fredrik Aursnes,Fredrik Bjørkan,Feyenoord,2022,0.3333,0.8752,0.6667,0.6667,same_given_name_diff_surname,No match,Different ages
Mats Rots,Daan Rots,Twente,2022,0.3571,0.7778,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Younes Taha El Idrissi,Younes Taha,Twente,2023,0.5217,0.9,0.6667,0.6667,substring_match,match,Full name
Daan Rots,Mats Rots,Twente,2023,0.3571,0.7778,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Mats Rots,Daan Rots,Twente,2023,0.3571,0.7778,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Younes Taha El Idrissi,Younes Taha,Twente,2024,0.5217,0.9,0.6667,0.6667,substring_match,match,Full name
Mats Rots,Daan Rots,Twente,2024,0.3571,0.7778,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Younes Taha El Idrissi,Younes Taha,Groningen,2025,0.5217,0.9,0.6667,0.6667,substring_match,,
Mats Rots,Daan Rots,Twente,2025,0.3571,0.7778,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Daan Rots,Mats Rots,Twente,2025,0.3571,0.7778,0.6667,0.6667,same_surname_diff_given_name,No match,brothers
Stefan van der Lei,Jop van der Linden,Willem II,2017,0.3214,0.661,0.6667,0.661,other,No match,Different ages
Lars Kramer,Kasper Larsen,Groningen,2017,0.3,0.6559,0.75,0.6559,other,,
Kasper Larsen,Lars Kramer,Groningen,2017,0.3,0.6559,0.75,0.6559,other,,
Mark van der Maarel,Robin van der Meer,Utrecht,2016,0.3333,0.7509,0.6486,0.6486,other,,
Robin van der Meer,Mark van der Maarel,Utrecht,2016,0.3333,0.7509,0.6486,0.6486,other,,
Robin van der Meer,Mark van der Maarel,Utrecht,2017,0.3333,0.7509,0.6486,0.6486,other,,
Mark van der Maarel,Robin van der Meer,Utrecht,2017,0.3333,0.7509,0.6486,0.6486,other,,
Mike van der Hoorn,Mark van der Maarel,Utrecht,2021,0.3214,0.6739,0.6486,0.6486,other,,
Mark van der Maarel,Mike van der Hoorn,Utrecht,2021,0.3214,0.6739,0.6486,0.6486,other,,
Sep van der Heijden,Mike van der Hoorn,Utrecht,2021,0.3,0.7661,0.6486,0.6486,other,,
Mark van der Maarel,Mike van der Hoorn,Utrecht,2022,0.3214,0.6739,0.6486,0.6486,other,,
Mike van der Hoorn,Mark van der Maarel,Utrecht,2022,0.3214,0.6739,0.6486,0.6486,other,,
Sep van der Heijden,Mike van der Hoorn,Utrecht,2022,0.3,0.7661,0.6486,0.6486,other,,
Mike van der Hoorn,Mark van der Maarel,Utrecht,2023,0.3214,0.6739,0.6486,0.6486,other,,
Mark van der Maarel,Mike van der Hoorn,Utrecht,2023,0.3214,0.6739,0.6486,0.6486,other,,
Nigel Nwankwo,Neville Ogidi Nwankwo,Telstar,2025,0.3077,0.7473,0.6471,0.6471,same_surname_diff_given_name,No match,brothers
Ricardo van Rhijn,Ricardo Kishna,Ajax,2013,0.3333,0.8793,0.6452,0.6452,same_given_name_diff_surname,No match,Different ages
Ricardo Kishna,Ricardo van Rhijn,Ajax,2013,0.3333,0.8793,0.6452,0.6452,same_given_name_diff_surname,No match,Different ages
Ricardo van Rhijn,Ricardo Kishna,Ajax,2014,0.3333,0.8793,0.6452,0.6452,same_given_name_diff_surname,No match,Different ages
Ricardo Kishna,Ricardo van Rhijn,Ajax,2014,0.3333,0.8793,0.6452,0.6452,same_given_name_diff_surname,No match,Different ages
Mitchell Schet,Mitchell de Vlugt,ADO Den Haag,2014,0.3913,0.8866,0.6452,0.6452,same_given_name_diff_surname,No match,Different ages
Mitchell de Vlugt,Mitchell Schet,ADO Den Haag,2014,0.3913,0.8866,0.6452,0.6452,same_given_name_diff_surname,No match,Different ages
Florent da Silva,Florent Sanchez,Volendam,2022,0.375,0.8383,0.6452,0.6452,same_given_name_diff_surname,,
Mitchel Bakker,Mitchell Dijks,Ajax,2017,0.3043,0.8571,0.6429,0.6429,other,No match,Different ages
Jarni Koorman,Jarno Westerman,PEC Zwolle,2019,0.3043,0.8672,0.6429,0.6429,other,,
Jarno Westerman,Jarni Koorman,PEC Zwolle,2019,0.3043,0.8672,0.6429,0.6429,other,,
Mohamed Daramy,Mohammed Kudus,Ajax,2021,0.3043,0.8571,0.6429,0.6429,other,No match,Different ages
Mohammed Kudus,Mohamed Daramy,Ajax,2021,0.3043,0.8571,0.6429,0.6429,other,No match,Different ages
Thomas Poll,Thomas Robinet,Almere City,2023,0.35,0.8597,0.64,0.64,same_given_name_diff_surname,,
Izzy Brown,Isaiah Brown,Vitesse,2015,0.4118,0.785,0.6364,0.6364,same_surname_diff_given_name,match,nickname
Dylan Seys,Dylan George,Twente,2016,0.3333,0.8567,0.6364,0.6364,same_given_name_diff_surname,No match,Different ages
Dylan George,Dylan Seys,Twente,2016,0.3333,0.8567,0.6364,0.6364,same_given_name_diff_surname,No match,Different ages
Thomas Bruns,Thomas Lam,PEC Zwolle,2019,0.4118,0.8567,0.6364,0.6364,same_given_name_diff_surname,,
Thomas Lam,Thomas Bruns,PEC Zwolle,2019,0.4118,0.8567,0.6364,0.6364,same_given_name_diff_surname,,
Dani de Wit,Mees de Wit,AZ,2022,0.4375,0.71,0.6364,0.6364,same_surname_diff_given_name,,
Mees de Wit,Dani de Wit,AZ,2022,0.4375,0.71,0.6364,0.6364,same_surname_diff_given_name,,
Mees de Wit,Dani de Wit,AZ,2023,0.4375,0.71,0.6364,0.6364,same_surname_diff_given_name,,
Dani de Wit,Mees de Wit,AZ,2023,0.4375,0.71,0.6364,0.6364,same_surname_diff_given_name,,
Stefan van der Lei,Martijn van der Laan,Groningen,2016,0.3103,0.7651,0.6316,0.6316,other,,
Bojan Krkić,Bojan,Ajax,2013,0.5,0.8909,0.625,0.625,substring_match,match,nickname
Miguel,Migue Leal,Groningen,2020,0.3846,0.92,0.625,0.625,other,,
Bilal Ould-Chikh,Walid Ould-Chikh,Volendam,2022,0.4783,0.869,0.625,0.625,same_surname_diff_given_name,,
Walid Ould-Chikh,Bilal Ould-Chikh,Volendam,2022,0.4783,0.869,0.625,0.625,same_surname_diff_given_name,,
Michael Mulder,Jonathan Mulder,ADO Den Haag,2020,0.3043,0.6365,0.6207,0.6207,same_surname_diff_given_name,No match,brothers
Vito van Crooij,Bart van Rooij,NEC Nijmegen,2024,0.3636,0.8094,0.6207,0.6207,other,No match,Different ages
